round,trial,score,vs_left,action,win_probability,win_low,win_high,conv_low,conv_high
1,1,73,0,small,0.45976345969619326,70.0,100.0,,
1,1,73,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,73,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,73,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,74,0,small,0.45976345969619326,70.0,100.0,,
1,1,74,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,74,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,74,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,75,0,small,0.45976345969619326,70.0,100.0,,
1,1,75,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,75,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,75,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,76,0,small,0.45976345969619326,70.0,100.0,,
1,1,76,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,76,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,76,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,77,0,small,0.45976345969619326,70.0,100.0,,
1,1,77,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,77,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,77,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,78,0,small,0.45976345969619326,70.0,100.0,,
1,1,78,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,78,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,78,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,79,0,small,0.45976345969619326,70.0,100.0,,
1,1,79,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,79,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,79,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,80,0,small,0.45976345969619326,70.0,100.0,,
1,1,80,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,80,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,80,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,81,0,small,0.4367752867113836,70.0,100.0,,
1,1,81,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,81,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,81,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,82,0,small,0.41378711372657395,70.0,100.0,,
1,1,82,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,82,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,82,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,83,0,small,0.3907989407417643,70.0,100.0,,
1,1,83,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,83,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,83,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,84,0,small,0.36781076775695465,70.0,100.0,,
1,1,84,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,84,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,84,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,85,0,small,0.344822594772145,70.0,100.0,,
1,1,85,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,85,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,85,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,86,0,small,0.32183442178733535,70.0,100.0,,
1,1,86,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,86,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,86,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,87,0,small,0.2988462488025257,70.0,100.0,,
1,1,87,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,87,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,87,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,88,0,small,0.27585807581771604,70.0,100.0,,
1,1,88,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,88,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,88,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,89,0,small,0.2528699028329064,70.0,100.0,,
1,1,89,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,89,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,89,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,90,0,small,0.22988172984809674,70.0,100.0,,
1,1,90,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,90,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,90,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,91,0,small,0.20689355686328706,70.0,100.0,,
1,1,91,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,91,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,91,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,92,0,small,0.18390538387847738,70.0,100.0,,
1,1,92,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,92,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,92,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,93,0,small,0.1609172108936677,70.0,100.0,,
1,1,93,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,93,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,93,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,94,0,small,0.13792903790885802,70.0,100.0,,
1,1,94,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,94,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,94,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,95,0,small,0.11494086492404834,70.0,100.0,,
1,1,95,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,95,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,95,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,96,0,small,0.09195269193923868,70.0,100.0,,
1,1,96,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,96,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,96,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,97,0,small,0.06896451895442901,70.0,100.0,,
1,1,97,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,97,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,97,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,98,0,small,0.04597634596961934,70.0,100.0,,
1,1,98,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,98,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,98,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,99,0,small,0.02298817298480967,70.0,100.0,,
1,1,99,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,99,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,99,3,very_small,0.4597634596961933,70.0,100.0,,
1,1,100,0,small,0.0,70.0,100.0,,
1,1,100,1,very_small,0.4597634596961933,70.0,100.0,,
1,1,100,2,very_small,0.4597634596961933,70.0,100.0,,
1,1,100,3,very_small,0.4597634596961933,70.0,100.0,,
1,2,0,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,0,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,0,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,0,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,1,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,1,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,1,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,1,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,2,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,2,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,2,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,2,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,3,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,3,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,3,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,3,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,4,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,4,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,4,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,4,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,5,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,5,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,5,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,5,3,large,0.45976345969619337,70.0,100.0,60,70
